HGNC approved symbol	HGNC approved name	UniProt ID (human)	Pfam domains	UniProt ID (mouse)	Function	Modification	Protein complex	Target entity	Product
FBRS	fibrosin	FBRS_HUMAN	Auts2 PF15336 82-273	FBRS_MOUSE	Histone modification	#	RING2-FBRS	#	#
FBRSL1	fibrosin-like 1	FBSL_HUMAN	Auts2 PF15336 587-788	#	Histone modification	#	RING2-FBRS	#	#
FOXA1	forkhead box A1	FOXA1_HUMAN	Forkhead_N PF08430 16-169, Forkhead PF00250 170-255, HNF_C PF09354 396-455	FOXA1_MOUSE	Chromatin remodeling, TF	#	#	DNA motif	#
FOXO1	forkhead box O1	FOXO1_HUMAN	Forkhead PF00250 160-244, FOXO_KIX_bdg PF16675 430-506, FOXO-TAD PF16676 597-635	FOXO1_MOUSE	TF	#	#	DNA motif, H3, H4	#
FOXP1	forkhead box P1	FOXP1_HUMAN	FOXP-CC PF16159 302-370, Forkhead PF00250 465-541	FOXP1_MOUSE	TF	#	#	DNA motif	#
FOXP2	forkhead box P2	FOXP2_HUMAN	FOXP-CC PF16159 342-410, Forkhead PF00250 504-581	FOXP2_MOUSE	TF	#	#	DNA motif	#
FOXP3	forkhead box P3	FOXP3_HUMAN	FOXP-CC PF16159 193-263, Forkhead PF00250 337-414	FOXP3_MOUSE	TF	#	#	DNA motif	#
FOXP4	forkhead box P4	FOXP4_HUMAN	FOXP-CC PF16159 305-371, Forkhead PF00250 467-544	FOXP4_MOUSE	TF	#	#	DNA motif	#
FTO	FTO alpha-ketoglutarate dependent dioxygenase	FTO_HUMAN	FTO_NTD PF12933 37-325, FTO_CTD PF12934 329-496	FTO_MOUSE	RNA modification	RNA demethylation	#	m6A of mRNA	hm6A, f6A, A
GADD45A	growth arrest and DNA-damage-inducible, alpha	GA45A_HUMAN	Ribosomal_L7Ae PF01248 21-114	GA45A_MOUSE	Chromatin remodeling	#	#	H2A, H2B, H3, H4	#
GADD45B	growth arrest and DNA-damage-inducible, beta	GA45B_HUMAN	Ribosomal_L7Ae PF01248 22-116	GA45B_MOUSE	Chromatin remodeling	#	#	H2A, H2B, H3, H4	#
GADD45G	growth arrest and DNA-damage-inducible, gamma	GA45G_HUMAN	Ribosomal_L7Ae PF01248 25-106	GA45G_MOUSE	Chromatin remodeling	#	#	H2A, H2B, H3, H4	#
GATAD1	GATA zinc finger domain containing 1	GATD1_HUMAN		GATD1_MOUSE	Histone modification read	#	#	H3K4me3	#
GATAD2A	GATA zinc finger domain containing 2A	P66A_HUMAN	P66_CC PF16563 137-179, GATA PF00320 417-451	P66A_MOUSE	Histone modification read	#	NuRD	H2A, H2B, H3, H4	#
GATAD2B	GATA zinc finger domain containing 2B	P66B_HUMAN	P66_CC PF16563 158-199, GATA PF00320 420-454	P66B_MOUSE	Histone modification read	#	NuRD	H2A, H2B, H3, H4	#
GFI1	growth factor independent 1 transcription repressor	GFI1_HUMAN	zf-C2H2 PF00096 255-278 284-306 312-334 340-362 368-390 396-419	GFI1_MOUSE	Chromatin remodeling	#	#	#	#
GFI1B	growth factor independent 1B transcription repressor	GFI1B_HUMAN	zf-C2H2 PF00096 163-186 192-214 220-242 248-270 276-298 304-327	GFI1B_MOUSE	Histone modification cofactor	#	#	#	#
GLYR1	glyoxylate reductase 1 homolog (Arabidopsis)	GLYR1_HUMAN	PWWP PF00855 8-89, NAD_binding_2 PF03446 269-425, NAD_binding_11 PF14833 431-551	GLYR1_MOUSE	Histone modification read	#	#	H3K4me3	#
GSE1	Gse1 coiled-coil protein	GSE1_HUMAN	DUF3736 PF12540 718-861	GSE1_MOUSE	Histone modification erase	Histone acetylation	BHC, LSD-CoREST	#	#
GSG2	germ cell associated 2 (haspin)	HASP_HUMAN	Haspin_kinase PF12330 420-783	HASP_MOUSE	Histone modification write	Histone phosphorylation	#	H3T3	H3T3ph
GTF2I	general transcription factor IIi	GTF2I_HUMAN	GTF2I PF02946 112-188 360-436 465-541 569-647 733-809 868-942	GTF2I_MOUSE	TF	#	BHC	DNA motif	#
GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	TF3C4_HUMAN	TFIIIC_delta PF12657 61-517, DUF5921 PF19336 516-592, zf-TFIIIC PF12660 741-789	TF3C4_MOUSE	Histone modification write	Histone acetylation	#	H3	#
HAT1	histone acetyltransferase 1	HAT1_HUMAN	Hat1_N PF10394 26-187, HAT1_C PF21183 287-337	HAT1_MOUSE	Histone modification write	Histone acetylation	#	H4, H2A	#
HCFC1	host cell factor C1	HCFC1_HUMAN	Kelch_1 PF01344 32-69, Kelch_5 PF13854 78-114 319-361, Kelch_3 PF13415 216-263	HCFC1_MOUSE	Chromatin remodeling	#	NSL, COMPASS, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	#	#
HCFC2	host cell factor C2	HCFC2_HUMAN	Kelch_1 PF01344 22-60, Kelch_5 PF13854 69-104 312-354, Kelch_3 PF13415 207-253	HCFC2_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	MLL-HCF, CHD8, MLL2/3, MLL4/WBP7	H3	#
HDAC1	histone deacetylase 1	HDAC1_HUMAN	Hist_deacetyl PF00850 28-318	HDAC1_MOUSE	Histone modification erase	Histone acetylation	SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, CREST-BRG1, LSD-CoREST	H3, H4	#
HDAC10	histone deacetylase 10	HDA10_HUMAN	Hist_deacetyl PF00850 24-321	HDA10_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC11	histone deacetylase 11	HDA11_HUMAN	Hist_deacetyl PF00850 35-318	HDA11_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC2	histone deacetylase 2	HDAC2_HUMAN	Hist_deacetyl PF00850 29-319	HDAC2_MOUSE	Histone modification erase	Histone acetylation	SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, LSD-CoREST	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC3	histone deacetylase 3	HDAC3_HUMAN	Hist_deacetyl PF00850 22-313	HDAC3_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC4	histone deacetylase 4	HDAC4_HUMAN	HDAC4_Gln PF12203 63-153, Hist_deacetyl PF00850 675-992	HDAC4_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC5	histone deacetylase 5	HDAC5_HUMAN	HDAC4_Gln PF12203 67-162, Hist_deacetyl PF00850 704-1022	HDAC5_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC6	histone deacetylase 6	HDAC6_HUMAN	Hist_deacetyl PF00850 106-402 499-798, zf-UBP PF02148 1132-1193	HDAC6_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC7	histone deacetylase 7	HDAC7_HUMAN	Hist_deacetyl PF00850 541-858	HDAC7_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC8	histone deacetylase 8	HDAC8_HUMAN	Hist_deacetyl PF00850 33-320	HDAC8_MOUSE	Histone modification erase	Histone acetylation	#	H2AKac, H2BKac, H3Kac, H4Kac	H2AK, H2BK, H3K, H4K
HDAC9	histone deacetylase 9	HDAC9_HUMAN	HDAC4_Gln PF12203 37-119, Hist_deacetyl PF00850 654-972	HDAC9_MOUSE	Histone modification erase	Histone acetylation	#	H3Kac, H4Kac	H3K, H4K
HDGF	hepatoma-derived growth factor	HDGF_HUMAN	PWWP PF00855 13-93	HDGF_MOUSE	Chromatin remodeling, TF	TF repressor	#	DNA motif	#
HDGFL2	HDGF like 2	HDGR2_HUMAN	PWWP PF00855 7-86, LEDGF PF11467 472-568	HDGR2_MOUSE	Histone modification read	#	#	H3K79me3, H4K20me3, H3K36me3	#
HELLS	helicase, lymphoid-specific	HELLS_HUMAN	SNF2-rel_dom PF00176 226-576, Helicase_C PF00271 600-712	HELLS_MOUSE	Chromatin remodeling	#	#	#	#
HIF1AN	hypoxia inducible factor 1, alpha subunit inhibitor	HIF1N_HUMAN	Cupin_8 PF13621 51-299	HIF1N_MOUSE	Histone modification erase cofactor	Histone acetylation	#	#	#
HINFP	histone H4 transcription factor	HINFP_HUMAN	zf-C2H2_4 PF13894 229-251, zf-C2H2 PF00096 255-278 345-368	HINFP_MOUSE	Histone modification read, TF	TF activator, TF repressor	#	H4, DNA motif	#
HIRA	histone cell cycle regulator	HIRA_HUMAN	WD40 PF00400 9-44 64-97 122-159 166-201, Hira PF07569 764-962	HIRA_MOUSE	Histone modification read	#	#	H2B, H4	#
HIRIP3	HIRA interacting protein 3	HIRP3_HUMAN	CHZ PF09649 486-556	HIRP3_MOUSE	Histone modification read	#	#	H2A, H3	#
HJURP	Holliday junction recognition protein	HJURP_HUMAN	Scm3 PF10384 11-71, HJURP_mid PF12346 123-391, HJURP_C PF12347 416-466 560-620	HJURP_MOUSE	Histone chaperone	#	#	H4	#
HLCS	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)	BPL1_HUMAN	BPL_LplA_LipB PF03099 472-603, BPL_C PF02237 669-716	BPL1_MOUSE	Histone modification write	#	#	H1, H2A, H2B, H4	#
HLTF	helicase-like transcription factor	HLTF_HUMAN	HIRAN PF08797 61-154, SNF2-rel_dom PF00176 242-720, zf-C3HC4_2 PF13923 760-800, Helicase_C PF00271 834-950	HLTF_MOUSE	Chromatin remodeling cofactor	#	#	#	#
HMG20A	high mobility group 20A	HM20A_HUMAN	HMG_box PF00505 103-170	HM20A_MOUSE	Chromatin remodeling cofactor	#	LSD-CoREST	H3K4	#
HMG20B	high mobility group 20B	HM20B_HUMAN	HMG_box PF00505 70-138	HM20B_MOUSE	Chromatin remodeling	#	BHC, LSD-CoREST	#	#
HMGB1	high mobility group box 1	HMGB1_HUMAN	HMG_box_2 PF09011 6-79, HMG_box PF00505 95-163	HMGB1_MOUSE	Chromatin remodeling	#	#	#	#
HMGN1	high mobility group nucleosome binding domain 1	HMGN1_HUMAN	HMG14_17 PF01101 2-96	HMGN1_MOUSE	Chromatin remodeling	#	#	H1	#
HMGN2	high mobility group nucleosomal binding domain 2	HMGN2_HUMAN	HMG14_17 PF01101 2-89	HMGN2_MOUSE	Chromatin remodeling	#	#	H1	#
HMGN3	high mobility group nucleosomal binding domain 3	HMGN3_HUMAN	HMG14_17 PF01101 2-95	HMGN3_MOUSE	Chromatin remodeling	#	#	H1	#
HMGN4	high mobility group nucleosomal binding domain 4	HMGN4_HUMAN	HMG14_17 PF01101 2-89	#	Chromatin remodeling	#	#	H1	#
HMGN5	high mobility group nucleosome binding domain 5	HMGN5_HUMAN	HMG14_17 PF01101 1-112	HMGN5_MOUSE	Chromatin remodeling	#	#	H1	#
HNRNPU	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)	HNRPU_HUMAN	SAP PF02037 8-42, SPRY PF00622 355-462, AAA_33 PF13671 499-643	HNRPU_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
HNRPL	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRPL_HUMAN	RRM_1 PF00076 106-155, RRM_8 PF11835 191-269, RRM_5 PF13893 361-480, domain PF22976 492-587	HNRPL_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
HNRPM	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRPM_HUMAN	HnRNP_M_NLS PF11532 41-70, RRM_1 PF00076 74-143 206-274 655-722	HNRPM_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
HP1BP3	heterochromatin protein 1, binding protein 3	HP1B3_HUMAN	Linker_histone PF00538 159-229 262-328 342-411	HP1B3_MOUSE	Chromatin remodeling	#	#	#	#
HR	hair growth associated	HAIR_HUMAN	JmjC PF02373 1051-1139	HAIR_MOUSE	Histone modification erase	Histone methylation	#	H3K9me1, H3K9me2	H3K9
HSFX3	heat shock transcription factor family, X-linked member 3	HSFX3_HUMAN	HSF_DNA-bind PF00447 83-181	#	#	#	#	#	#
HSPA1A	heat shock 70kDa protein 1A	HSP71_HUMAN		HS71A_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7	#	#
HSPA1A	heat shock protein family A (Hsp70) member 1B	HS71A_HUMAN	HSP70 PF00012 6-611	HS71A_MOUSE	Histone modification write cofactor	Histone acetylation, Histone methylation, Histone ubiquitination	#	HDAC	#
HSPA1B	heat shock 70kDa protein 1B	HSP71_HUMAN		HS71A_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	CHD8, MLL2/3, MLL4/WBP7	#	#
HSPA1B	heat shock protein family A (Hsp70) member 1B	HS71B_HUMAN	HSP70 PF00012 6-611	HS71B_MOUSE	Histone modification write cofactor	Histone acetylation, Histone methylation, Histone ubiquitination	#	HDAC	#
HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	HUWE1_HUMAN	DUF908 PF06012 25-338, DUF913 PF06025 404-820, domain PF22562 1317-1355, WWE PF02825 1617-1679, UBM PF14377 2962-2994 3055-3081, HECT PF00632 4067-4373	HUWE1_MOUSE	Histone modification write	Histone ubiquitination	#	H3K9	#
IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	ELP1_HUMAN	IKI3 PF04762 2-955	ELP1_MOUSE	Scaffold protein	#	Pol2 elongator	RNA	#
IKZF1	IKAROS family zinc finger 1 (Ikaros)	IKZF1_HUMAN	zf-C2H2 PF00096 145-167 173-195 201-224	IKZF1_MOUSE	Chromatin remodeling, TF	#	#	DNA motif	#
IKZF3	IKAROS family zinc finger 3 (Aiolos)	IKZF3_HUMAN	zf-C2H2 PF00096 146-168 202-222	IKZF3_MOUSE	TF	#	#	DNA motif	#
ING1	inhibitor of growth family, member 1	ING1_HUMAN	ING PF12998 186-254	ING1_MOUSE	Histone modification read	#	#	H3K4me3	#
ING2	inhibitor of growth family, member 2	ING2_HUMAN	ING PF12998 27-122	ING2_MOUSE	Histone modification read	#	mSin3A-like complex	H3K4me3	#
ING3	inhibitor of growth family, member 3	ING3_HUMAN	ING PF12998 3-104	ING3_MOUSE	Chromatin remodeling, Histone modification write cofactor	Histone acetylation	SWR, NuA4, Piccolo_NuA4	H2A, H4	#
ING4	inhibitor of growth family, member 4	ING4_HUMAN	ING PF12998 6-107	ING4_MOUSE	Histone modification read	#	HBO1	H3K4me3	#
ING5	inhibitor of growth family, member 5	ING5_HUMAN	ING PF12998 6-107	ING5_MOUSE	Histone modification read	#	HBO1, MOZ/MORF	H3K4me3, H3K4me2	#
INO80	INO80 complex subunit	INO80_HUMAN	DBINO PF13892 277-405, SNF2-rel_dom PF00176 521-821, Helicase_C PF00271 1102-1214	INO80_MOUSE	Chromatin remodeling	#	Ino80	#	#
INO80B	INO80 complex subunit B	IN80B_HUMAN	PAPA-1 PF04795 187-284, zf-HIT PF04438 308-336	IN80B_MOUSE	Chromatin remodeling cofactor	#	Ino80	#	#
INO80C	INO80 complex subunit C	IN80C_HUMAN	YL1_C PF08265 142-170	IN80C_MOUSE	Chromatin remodeling cofactor	#	Ino80, CHD8, MLL2/3, MLL4/WBP7	#	#
INO80D	INO80 complex subunit D	IN80D_HUMAN	zf-C3Hc3H PF13891 18-79 453-511	IN80D_MOUSE	Chromatin remodeling cofactor	#	Ino80	#	#
INO80E	INO80 complex subunit E	IN80E_HUMAN		#	Chromatin remodeling cofactor	#	#	#	#
JADE1	jade family PHD finger 1	JADE1_HUMAN	EPL1 PF10513 17-181, PHD_2 PF13831 218-251, zf-HC5HC2H_2 PF13832 256-369	JADE1_MOUSE	Histone modification write	Histone acetylation	HBO1	H3, H4	H3ac, H4ac
JADE2	jade family PHD finger 2	JADE2_HUMAN	EPL1 PF10513 16-177, PHD_2 PF13831 214-247, zf-HC5HC2H_2 PF13832 253-364	JADE2_MOUSE	Histone modification write	Histone acetylation	HBO1	H3, H4	H3ac, H4ac
JADE3	jade family PHD finger 3	JADE3_HUMAN	EPL1 PF10513 47-177, PHD_2 PF13831 215-248, zf-HC5HC2H_2 PF13832 254-366	JADE3_MOUSE	Histone modification write	Histone acetylation	HBO1	H3, H4	H3ac, H4ac
JAK2	Janus kinase 2	JAK2_HUMAN	FERM_F1 PF18379 39-133, FERM_F2 PF18377 144-261, Jak1_Phl PF17887 306-381, domain PF21990 398-502, PK_Tyr_Ser-Thr PF07714 545-805 849-1122	JAK2_MOUSE	Histone modification write	Histone phosphorylation	#	H3T41	H3T41ph
JARID2	jumonji, AT rich interactive domain 2	JARD2_HUMAN	JmjN PF02375 558-591, ARID PF01388 624-709, JmjC PF02373 916-1031, zf-C5HC2 PF02928 1139-1191	JARD2_MOUSE	Histone modification write cofactor	Histone methylation	PRC2	H3K27, H3K9	#
JDP2	Jun dimerization protein 2	JDP2_HUMAN	bZIP_1 PF00170 70-128	JDP2_MOUSE	Chromatin remodeling, Histone modification erase cofactor	Histone acetylation	#	#	#
JMJD1C	jumonji domain containing 1C	JHD2C_HUMAN	domain PF22989 11-86, domain PF22988 108-181, domain PF22987 179-254, JmjC PF02373 2379-2481	JHD2C_MOUSE	Histone modification erase	Histone methylation	#	H3K9me	H3K9
JMJD6	jumonji domain containing 6	JMJD6_HUMAN	JmjC PF02373 174-288	JMJD6_MOUSE	Histone modification erase	Histone methylation	#	H3R2me, H4R3me	H3R2, H4R3
KANSL1	KAT8 regulatory NSL complex subunit 1	KANL1_HUMAN	PEHE PF15275 887-1020	KANL1_MOUSE	Histone modification write cofactor, Histone modification write cofactor	Histone methylation, Histone acetylation	NSL, CHD8, MLL2/3, MLL4/WBP7	H4	H4ac
KANSL2	KAT8 regulatory NSL complex subunit 2	KANL2_HUMAN	zf-C3Hc3H PF13891 28-92 308-365	KANL2_MOUSE	Histone modification write cofactor	Histone acetylation	NSL	H5	H4ac
KANSL3	KAT8 regulatory NSL complex subunit 3	KANL3_HUMAN	Abhydrolase_11 PF20408 329-449	KANL3_MOUSE	Histone modification write cofactor	Histone acetylation	NSL	H6	H4ac
KAT2A	K(lysine) acetyltransferase 2A	KAT2A_HUMAN	PCAF_N PF06466 92-335, Acetyltransf_1 PF00583 536-627, Bromodomain PF00439 738-819	KAT2A_MOUSE	Histone modification write	Histone acetylation	TFTC-HAT, SAGA, ATAC, STAGA	#	#
KAT2B	K(lysine) acetyltransferase 2B	KAT2B_HUMAN	PCAF_N PF06466 77-323, Acetyltransf_1 PF00583 531-622, Bromodomain PF00439 733-814	KAT2B_MOUSE	Histone modification write	Histone acetylation	#	#	#
KAT5	K(lysine) acetyltransferase 5	KAT5_HUMAN	Tudor-knot PF11717 7-65, zf-MYST PF17772 229-283, MOZ_SAS PF01853 288-470	KAT5_MOUSE	Histone modification write	Histone acetylation	SWR, NuA4, Piccolo_NuA4	H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16	H2AK5ac, H3K14ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac
KAT6A	K(lysine) acetyltransferase 6A	KAT6A_HUMAN	SAMD1_WH PF21524 10-73, PHD PF00628 208-263 264-310, zf-MYST PF17772 507-560, MOZ_SAS PF01853 564-741	KAT6A_MOUSE	Histone modification write	Histone acetylation	MOZ/MORF	H3, H4	H3ac, H4ac
KAT6B	K(lysine) acetyltransferase 6B	KAT6B_HUMAN	SAMD1_WH PF21524 9-73, PHD PF00628 271-317, zf-MYST PF17772 718-771, MOZ_SAS PF01853 776-979	KAT6B_MOUSE	Histone modification write	Histone acetylation	MOZ/MORF	H3	H3ac
KAT7	K(lysine) acetyltransferase 7	KAT7_HUMAN	zf-C2HC PF01530 184-212, zf-MYST PF17772 337-388, MOZ_SAS PF01853 393-570	KAT7_MOUSE	Histone modification write	Histone acetylation	HBO1	H4	H4ac
KAT8	K(lysine) acetyltransferase 8	KAT8_HUMAN	Tudor-knot PF11717 54-110, zf-MYST PF17772 176-230, MOZ_SAS PF01853 235-412	KAT8_MOUSE	Histone modification write	Histone acetylation	NSL, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7	H2A, H3, H4	H2Aac, H3ac, H4ac
KDM1A	lysine (K)-specific demethylase 1A	KDM1A_HUMAN	SWIRM PF04433 183-264, Amino_oxidase PF01593 288-826	KDM1A_MOUSE	Histone modification erase	Histone methylation	NuRD, BHC, SCL	H3K4me1, H3K4me2, H3K9me	H3K4, H3K9
KDM1B	lysine (K)-specific demethylase 1B	KDM1B_HUMAN	zf-CW PF07496 137-189, SWIRM PF04433 292-364, Amino_oxidase PF01593 392-819	KDM1B_MOUSE	Histone modification erase	Histone methylation	#	H3K4me1, H3K4me2	H3K4
KDM2A	lysine (K)-specific demethylase 2A	KDM2A_HUMAN	JHD PF17811 304-343, zf-CXXC PF02008 565-609, PHD_4 PF16866 615-676, F-box-like PF12937 896-935	KDM2A_MOUSE	Histone modification erase	Histone methylation	#	H3K36me2	H3K36
KDM2B	lysine (K)-specific demethylase 2B	KDM2B_HUMAN	Cupin_8 PF13621 150-331, JHD PF17811 334-375, zf-CXXC PF02008 607-651, PHD_4 PF16866 657-723, F-box-like PF12937 1068-1107	KDM2B_MOUSE	Histone modification erase	Histone methylation	BCOR	H3K4me3, H3K36me2	H3K4, H3K36
KDM3A	lysine (K)-specific demethylase 3A	KDM3A_HUMAN	domain PF22989 8-82, domain PF22988 92-182, domain PF22987 184-249, JmjC PF02373 1158-1264	KDM3A_MOUSE	Histone modification erase	Histone methylation	#	H3K9me1, H3K9me2	H3K9
KDM3B	lysine (K)-specific demethylase 3B	KDM3B_HUMAN	domain PF22989 10-83, domain PF22988 91-188, domain PF22987 189-254, JmjC PF02373 1599-1704	KDM3B_MOUSE	Histone modification erase	Histone methylation	#	H3K9me1, H3K9me2	H3K9
KDM4A	lysine (K)-specific demethylase 4A	KDM4A_HUMAN	JmjN PF02375 14-49, JmjC PF02373 175-291, PHD_2 PF13831 732-767, zf-HC5HC2H_2 PF13832 774-884, Tudor_2 PF18104 902-936 959-994	KDM4A_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3, H3K36me3	H3K4me2, H3K36me2
KDM4B	lysine (K)-specific demethylase 4B	KDM4B_HUMAN	JmjN PF02375 16-50, JmjC PF02373 176-292, PHD_2 PF13831 754-789, zf-HC5HC2H_2 PF13832 796-907, Tudor_2 PF18104 922-956 978-1014	KDM4B_MOUSE	Histone modification erase	Histone methylation	#	H3K9me3	H3K9me1, H3K9me2
KDM4C	lysine (K)-specific demethylase 4C	KDM4C_HUMAN	JmjN PF02375 17-51, JmjC PF02373 177-293, PHD_2 PF13831 712-747, zf-HC5HC2H_2 PF13832 754-864, Tudor_2 PF18104 881-916 939-974	KDM4C_MOUSE	Histone modification erase	Histone methylation	#	H3K9me3, H3K36me3	H3K9me1, H3K9me2
KDM4D	lysine (K)-specific demethylase 4D	KDM4D_HUMAN	JmjN PF02375 19-53, JmjC PF02373 179-295	KDM4D_MOUSE	Histone modification erase	Histone methylation	#	H3K9me3	H3K9me1, H3K9me2
KDM4E	lysine (K)-specific demethylase 4E	KDM4E_HUMAN	JmjN PF02375 16-50, JmjC PF02373 176-292	#	Histone modification erase	Histone methylation	#	H3K9me2, H3K9me3	H3K9
KDM5A	lysine (K)-specific demethylase 5A	KDM5A_HUMAN	JmjN PF02375 20-53, ARID PF01388 86-170, PHD PF00628 296-340 1164-1215, JmjC PF02373 470-586, KDM5_C-hel PF21323 590-644, zf-C5HC2 PF02928 676-728, PLU-1 PF08429 741-1070	KDM5A_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3	H3K4
KDM5B	lysine (K)-specific demethylase 5B	KDM5B_HUMAN	JmjN PF02375 33-66, ARID PF01388 99-183, PHD PF00628 312-356 1178-1221 1487-1535, JmjC PF02373 486-602, KDM5_C-hel PF21323 606-660, zf-C5HC2 PF02928 692-744, PLU-1 PF08429 758-1088	KDM5B_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3	H3K4
KDM5C	lysine (K)-specific demethylase 5C	KDM5C_HUMAN	JmjN PF02375 15-48, ARID PF01388 80-165, PHD PF00628 327-371, JmjC PF02373 501-617, KDM5_C-hel PF21323 621-675, zf-C5HC2 PF02928 707-759, PLU-1 PF08429 771-1098	KDM5C_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3	H3K4me2, H3K4me1
KDM5D	lysine (K)-specific demethylase 5D	KDM5D_HUMAN	JmjN PF02375 15-48, ARID PF01388 81-165, PHD PF00628 317-361, JmjC PF02373 491-607, KDM5_C-hel PF21323 611-665, zf-C5HC2 PF02928 697-749, PLU-1 PF08429 763-1085	KDM5D_MOUSE	Histone modification erase	Histone methylation	#	H3K4me3, H3K4me2	H3K4
KDM6A	lysine (K)-specific demethylase 6A	KDM6A_HUMAN	TPR_8 PF13181 205-237, JmjC PF02373 1133-1241, KDM6_C-hel PF21322 1248-1303, KDM6_GATAL PF21326 1320-1380	KDM6A_MOUSE	Histone modification erase	Histone methylation	CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4	H3K27me2. H3K27me3	H3K27
KDM6B	lysine (K)-specific demethylase 6B	KDM6B_HUMAN	JmjC PF02373 1377-1485, KDM6_C-hel PF21322 1492-1547, KDM6_GATAL PF21326 1560-1623	KDM6B_MOUSE	Histone modification erase	Histone methylation	#	H3K27me2. H3K27me4	H3K28
KDM7A	lysine (K)-specific demethylase 7A	KDM7A_HUMAN	PHD PF00628 40-85, JmjC PF02373 269-369, JHD PF17811 373-480	KDM7A_MOUSE	Histone modification erase	Histone methylation	#	H3K9me2, H3K27me2, H4K20me1	H3K9, H3K27, H4K20
KDM8	lysine (K)-specific demethylase 8	KDM8_HUMAN	Cupin_8 PF13621 194-416	KDM8_MOUSE	Histone modification erase	Histone methylation	#	H3K36me2	H3K36
KEAP1	kelch-like ECH-associated protein 1	KEAP1_HUMAN	BTB PF00651 67-178, BACK PF07707 184-285, Kelch_1 PF01344 327-359 361-410 412-457 459-504 507-551 553-598	KEAP1_MOUSE	Chromatin remodeling	#	#	#	#
KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDR1_HUMAN	Qua1 PF16274 102-153, KH_1 PF00013 159-209, Sam68-YY PF16568 368-420	KHDR1_MOUSE	RNA modification	Alternative splicing	#	mRNA	#
KLF18	Kruppel like factor 18	KLF18_HUMAN	zf-C2H2 PF00096 994-1018 1024-1046	A2AML7_MOUSE	TF	#	#	DNA	#
KMT2A	lysine (K)-specific methyltransferase 2A	KMT2A_HUMAN	zf-CXXC PF02008 1149-1194, PHD PF00628 1481-1530 1569-1624, zf-HC5HC2H PF13771 1897-1978, FYRN PF05964 2016-2077, FYRC PF05965 3666-3747, SET PF00856 3840-3945	KMT2A_MOUSE	Histone modification write	Histone methylation	MLL-HCF, CHD8, COMPASS-like MLL1,2	H3K4	H3K4me
